Town,%Abun,Latitude,Longitude,Altitude,Rainfall,MaxSummer,MaxWinter,MinSummer,MinWinter,EvapValue
Rouxville,0.473933649,-30.426234,26.836119,1495,573.4704242,26,19,13.5,-1,1600
Sedgefield,0,-34.02279908,22.81466278,10,725.9537714,26,21,15,7,1400
Seymour,0,-32.55391281,26.76714441,780,562.8534167,26,23,15,5,1400
Smithfield,5.747126437,-30.2110229,26.5333962,1400,511.937,28,21,13.5,-1,1800
Somerset East,0,-32.720968,25.582513,748,572.4807222,26,23,15,5,1800
Springfontein,0,-30.26489163,25.70273618,1512,457.3578919,28,19,13.5,-3,1800
Sterkstroom,2.369668246,-31.55675956,26.55167244,1348,499.4416111,26,21,13.5,-1,1800
Steynsburg,6.22406639,-31.29535662,25.81825953,1454,455.7315625,28,19,13.5,-1,1600
Steytlerville,0,-33.33,24.35,423,250.0230857,28,23,15,5,1800
Strydenburg,0,-29.94370596,23.67870159,1079,257.1397222,30,21,15,1,2200
Suurbraak,0,-34.0040106,20.65062678,117,679.8384706,28,21,13.5,5,1800
Swellendam,0,-34.02195501,20.44550762,148,679.8384706,28,21,13.5,5,1600
Tarkastad,0.215053763,-32.003104,26.257462,1295,413.1854286,28,19,13.5,1,2000
Touws River,0,-33.33721934,20.03263286,773,236.0725161,28,19,13.5,3,1800
Trompsburg,0.381679389,-30.02955,25.784739,1415,474.9146857,28,19,13.5,-1,2000
Tweespruit,0,-29.19333754,27.02470208,1584,643.1570286,26,19,13.5,-1,1600
Uniondale,0.705882353,-33.66086725,23.11924125,737,263.6701429,26,19,13.5,5,1600
Upington,0,-28.39232492,21.25123714,788,179.0488333,32,25,17.5,3,2600
Vanderkloof,0,-29.99667587,24.74362375,1188,357.9706667,30,21,15,1,2000
Vanwyksdorp,0,-33.74781894,21.46005767,213,253,28,21,15,5,1800
Vanwyksvlei,0,-30.3513889,21.8241667,967,152.4731212,32,23,15,1,2600
Venterstad,1.734104046,-30.775265,25.79693125,1294,437.5113714,28,21,13.5,-1,1800
Victoria West,0,-31.402023,23.115606,1279,253.33,28,19,13.5,1,2600
Vosburg,2.403846154,-30.57342343,22.87883457,1129,241.0671667,30,21,15,1,2600
Wegdraai,0,-28.837989,21.864503,863,189.7036757,32,23,17.5,1,2600
Wepener,0,-29.727817,27.037943,1429,587,28,21,13.5,-1,1600
Williston,0,-31.340554,20.914623,1066,180,28,21,13.5,1,2600
Willowmore,4.356435644,-33.29621378,23.48431281,833,274.1711034,28,19,13.5,3,1800
Winburg,1.079136691,-28.514988,27.01226,1441,537.6091429,28,21,13.5,1,1800
Zastron,0,-30.3008333,27.085,1665,693.7393143,26,19,13.5,-1,1600
