Town,SB%Transformed,PropTar(3,Latitude,Longitude,Altitude,Rainfall,MaxSummer,MaxWinter,MinSummer,MinWinter,EvapVal,Aridity,SoilGroup,SAGeol,VegMapBiome
Riebeek_Oos,0,Low,-33.20294434,26.1540189,645,446.0152414,26,21,15,5,1400,SemiAridZone,Leptosols,Witteberg,Albany
Rietbron,0,Low,-32.9,23.1516667,773,192.6669375,30,21,15,1,2000,AridZone,Cambisols,Adelaide,Nama-Karoo
Ritchie,0,Low,-29.03152447,24.60278458,1109,371.8261176,32,23,15,1,2200,SemiAridZone,Cambisols,Kalahari,Savanna
Rosmead,9.8155816,Low,-31.48873138,25.11925881,1226,365,28,19,13.5,1,1800,SemiAridZone,Luvisols,Tarkastad,Nama-Karoo
Rouxville,2.767926084,Low,-30.426234,26.836119,1495,573.4704242,26,19,13.5,-1,1600,SemiAridZone,Solonetz,Tarkastad,Grassland
Sedgefield,0,High,-34.02279908,22.81466278,10,725.9537714,26,21,15,7,1400,DrySubhumidZone,Arenosols,Kalahari,Albany
Seymour,0,Low,-32.55391281,26.76714441,780,562.8534167,26,23,15,5,1400,SemiAridZone,Leptosols,Adelaide,Albany
Smithfield,8.05703784,Low,-30.2110229,26.5333962,1400,511.937,28,21,13.5,-1,1800,SemiAridZone,Luvisols,Tarkastad,Grassland
Somerset_East,0,High,-32.720968,25.582513,748,572.4807222,26,23,15,5,1800,SemiAridZone,Luvisols,SuurbergD,Albany
Springfontein,0,Low,-30.26489163,25.70273618,1512,457.3578919,28,19,13.5,-3,1800,SemiAridZone,Luvisols,Adelaide,Grassland
Sterkstroom,6.338606099,Low,-31.55675956,26.55167244,1348,499.4416111,26,21,13.5,-1,1800,SemiAridZone,Luvisols,SuurbergD,Grassland
Steynsburg,8.203832686,Low,-31.29535662,25.81825953,1454,455.7315625,28,19,13.5,-1,1600,SemiAridZone,Luvisols,Tarkastad,Nama-Karoo
Steytlerville,0,Medium,-33.33,24.35,423,250.0230857,28,23,15,5,1800,AridZone,Cambisols,Witteberg,Azonal
Strydenburg,0,Low,-29.94370596,23.67870159,1079,257.1397222,30,21,15,1,2200,AridZone,Cambisols,Kalahari,Nama-Karoo
Suurbraak,0,Low,-34.0040106,20.65062678,117,679.8384706,28,21,13.5,5,1800,SemiAridZone,Leptosols,TableMoun,Fynbos
Swellendam,0,High,-34.02195501,20.44550762,148,679.8384706,28,21,13.5,5,1600,SemiAridZone,Leptosols,Bokkeveld,Fynbos
Tarkastad,0.776566488,Low,-32.003104,26.257462,1295,413.1854286,28,19,13.5,1,2000,SemiAridZone,Luvisols,Tarkastad,Grassland
Touws_River,0,High,-33.33721934,20.03263286,773,236.0725161,28,19,13.5,3,1800,AridZone,Arenosols,Witteberg,Fynbos
Trompsburg,2.238987361,Low,-30.02955,25.784739,1415,474.9146857,28,19,13.5,-1,2000,SemiAridZone,Luvisols,Adelaide,Grassland
Tweespruit,0,Low,-29.19333754,27.02470208,1584,643.1570286,26,19,13.5,-1,1600,SemiAridZone,Lixisols,Tarkastad,Grassland
Uniondale,3.709838603,Medium,-33.66086725,23.11924125,737,263.6701429,26,19,13.5,5,1600,SemiAridZone,Leptosols,TableMoun,Fynbos
Upington,0,High,-28.39232492,21.25123714,788,179.0488333,32,25,17.5,3,2600,AridZone,Regosols,OkiepBush,Nama-Karoo
Vanderkloof,0,Medium,-29.99667587,24.74362375,1188,357.9706667,30,21,15,1,2000,SemiAridZone,Leptosols,SuurbergD,Grassland
Vanwyksdorp,0,Low,-33.74781894,21.46005767,213,253,28,21,15,5,1800,AridZone,Arenosols,Bokkeveld,Azonal
